,Buisness_name,link,Address,phone number,Website,type,other_links
30,Gandhi Darshan Museum,https://www.google.com/maps/place/Gandhi+Darshan+Museum/data=!4m7!3m6!1s0x3be7b12ac6aa5c7f:0x90be528f369de471!8m2!3d19.2214387!4d72.8497956!16s%2Fg%2F1hjh4p5hd!19sChIJf1yqxiqx5zsRceSdNo9SvpA?authuser=0&hl=en&rclk=1,"6RCX+HWF, Gandhi Ghar Rd, Rayani Gram, Borivali West, Mumbai, Maharashtra 400092",,,Museums,"https://business.google.com/create?fp=10429864562086765681&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
31,Archdioceasan Heritage Museum,https://www.google.com/maps/place/Archdioceasan+Heritage+Museum/data=!4m7!3m6!1s0x3be7b79674ab407b:0x8c0a85a8e7751d6b!8m2!3d19.1685753!4d72.8567871!16s%2Fg%2F11f631lm33!19sChIJe0CrdJa35zsRax1156iFCow?authuser=0&hl=en&rclk=1,"5V94+CPM, Vishveshwar Nagar, Goregaon, Mumbai, Maharashtra 400063",022 2927 1557,,Museums,"https://business.google.com/create?fp=10091024875561229675&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
32,Bharat Ratan Atal Bihari Vajpayee Smriti Udyan,https://www.google.com/maps/place/Bharat+Ratan+Atal+Bihari+Vajpayee+Smriti+Udyan/data=!4m7!3m6!1s0x3be7b1406e3212e5:0x6a3e05839cd5f28!8m2!3d19.2237718!4d72.8428921!16s%2Fg%2F11h_78gczq!19sChIJ5RIybkCx5zsRKF_NOVjgowY?authuser=0&hl=en&rclk=1,"6RFV+G52, Shimpoli Rd, Shimpoli, Borivali West, Mumbai, Maharashtra 400092",,,Museums,"https://business.google.com/create?fp=478472654962908968&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
33,Kaka Baptista East Indian Museum (Theresa Villa),https://www.google.com/maps/place/Kaka+Baptista+East+Indian+Museum+%28Theresa+Villa%29/data=!4m7!3m6!1s0x3be7b40a7f9875e9:0xb270dedaed01fb7d!8m2!3d19.2139456!4d72.7837425!16s%2Fg%2F1ptxd8w5z!19sChIJ6XWYfwq05zsRffsB7drecLI?authuser=0&hl=en&rclk=1,"Manori - Gorai Rd, Puttupatti, Manori Village, Malad West, Mumbai, Maharashtra 400095",098200 87771,mobaikar.in,Museums,"http://www.mobaikar.in/,"
34,Red Carpet Wax Museum,https://www.google.com/maps/place/Red+Carpet+Wax+Museum/data=!4m7!3m6!1s0x3be7c7cf5793d091:0x1b370b6b551297c5!8m2!3d19.100097!4d72.915849!16s%2Fg%2F11g69g5t7k!19sChIJkdCTV8_H5zsRxZcSVWsLNxs?authuser=0&hl=en&rclk=1,"R City Mall, 1, Lal Bahadur Shastri Marg, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",022 2517 5557,,Museums,
35,Canon museum,https://www.google.com/maps/place/Canon+museum/data=!4m7!3m6!1s0x3be7b9b5094dd833:0x656997f4f41eb884!8m2!3d19.1821188!4d72.9825204!16s%2Fg%2F11j8lfm5_7!19sChIJM9hNCbW55zsRhLge9PSXaWU?authuser=0&hl=en&rclk=1,"5XJM+R2R, Veer Savarkar Nagar, Thane East, Thane, Maharashtra 400603",,,Museums,"https://business.google.com/create?fp=7307538948708808836&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
36,Click Art Museum,https://www.google.com/maps/place/Click+Art+Museum/data=!4m7!3m6!1s0x3be7c7dfc7a20805:0x3c51668e5878303d!8m2!3d19.0995318!4d72.9160728!16s%2Fg%2F11fklfsv37!19sChIJBQiix9_H5zsRPTB4WI5mUTw?authuser=0&hl=en&rclk=1,"R City Mall, Lal Bahadur Shastri Marg, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",,,Museums,"https://business.google.com/create?fp=4346367876944900157&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
37,Dr. Babasaheb Ambedkar Memorial Bhavan,https://www.google.com/maps/place/Dr.+Babasaheb+Ambedkar+Memorial+Bhavan/data=!4m7!3m6!1s0x3be7b8ada70fef05:0x1ec0c976e3f6d78!8m2!3d19.1501601!4d72.9898518!16s%2Fg%2F11j8k8ft6x!19sChIJBe8Pp6245zsReG0_bpcM7AE?authuser=0&hl=en&rclk=1,"A-3, Shri Asya Mandir Marg, Panchatara Co Housing Society, Sector 15, Airoli, Navi Mumbai, Maharashtra 400708",098200 96922,drbabasahebambedkarsmarakairoli.in,Museums,"https://drbabasahebambedkarsmarakairoli.in/get-info/get-info.php,https://business.google.com/create?fp=138499533070888312&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
38,Jaya He GVK New Museum,https://www.google.com/maps/place/Jaya+He+GVK+New+Museum/data=!4m7!3m6!1s0x3be7c842948ee4eb:0x44ef14d9aee36517!8m2!3d19.09795!4d72.873855!16s%2Fg%2F11bwh4r7tp!19sChIJ6-SOlELI5zsRF2XjrtkU70Q?authuser=0&hl=en&rclk=1,"BIBA, Terminal 2, Navpada, Sahar Village, Vile Parle, Mumbai, Maharashtra 400099",,,Museums,"https://business.google.com/create?fp=4967211839187543319&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
39,Cat orientation centre,https://www.google.com/maps/place/Cat+orientation+centre/data=!4m7!3m6!1s0x3be7b1c892c0ef4b:0xfa12bf3d126406eb!8m2!3d19.2294737!4d72.8737773!16s%2Fg%2F11k9fscq1w!19sChIJS-_Aksix5zsR6wZkEj2_Evo?authuser=0&hl=en&rclk=1,"6VHF+VCF, National Park Flyover, Rajendra Nagar Society, Borivali East, Mumbai, Maharashtra 400066",,,Museums,"https://business.google.com/create?fp=18019675328085231339&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=1,"
